CEN,120,i | 1 | 2 | 3,,2.18,0.00,"1,063,600","2,312","1,624",5.89,0.84,,,0.37,10.97,15.56,55.82,,68.29,,188,188,-0.02,
CENTEL,121,i | 1 | 2 | 3,,34.5,+0.73,"2,426,700","82,540","46,575",,2.50,,,0,-7.54,-21.69,-20.41,,72.40,,,,,
CFRESH,122,i | 1 | 3,,2.38,-2.46,"2,843,800","6,897","2,206",,1.16,,,0,-1.73,-11.66,1.83,,32.16,,,,,
CGD,123,i | 1 | 2 | 3,,0.55,0.00,"48,306,800","26,428","4,546",,1.17,,,0,1.59,-14.8,-42.58,,44.18,,,,,
CGH,124,i | 1 | 2 | 3,,1.09,-1.80,"28,089,400","30,730","4,366",18.21,0.80,,,0.06,4.32,4.52,20.47,,39.74,,713,685,1.22,
CHARAN,125,i | 1 | 2 | 3,,30.25,0.00,"12,400",372,363,8.99,0.69,0.41,2.60,3.36,5.66,7.69,0.26,8.60,55.53,,437,443,-0.05,
CHAYO,126,i | 1 | 2 | 3,,13.3,0.00,"8,516,000","112,912","12,684",75.54,4.82,,,0.18,8.95,9.83,28.93,0.04,49.55,,818,742,1.96,
CHEWA,127,i | 1 | 2 | 3,,1.03,-3.74,"120,562,400","131,756","1,313",6.33,0.70,,0.02,0.16,1.28,11.56,4.25,1.95,25.85,,283,599,0.35,
CHG,128,i | 1 | 2 | 3,,3.9,+3.17,"191,396,300","735,485","42,900",31.47,9.51,,0.03,0.12,25.04,33.12,22.86,1.32,42.78,,432,412,4.44,
CHO,129,i | 1 | 2 | 3,,1.06,+4.95,"87,760,400","91,111","1,594",,1.80,,,0,-4.77,-31.65,-78.58,,45.40,,,,,
CHOTI,130,i | 1 | 3,,80,0.00,300,24,600,,0.77,,,0,-9.19,-17.41,-3.39,,25.80,,,,,
CHOW,131,i | 1 | 2 | 3,,3.44,+0.58,"11,300",39,"2,752",,3.51,,,0,-1.68,-17.13,-48.4,,37.41,,,,,
